tag_name,published_at,prerelease,author_login
v0.7.0,2020-10-02T18:30:42Z,False,ZihengJiang
v0.6.1,2020-07-10T19:29:13Z,False,yzhliu
v0.6.0,2019-12-05T06:47:45Z,False,yzhliu
v0.5,2019-02-18T22:49:08Z,False,ZihengJiang
v0.4,2018-09-03T19:25:28Z,False,tqchen
v0.3,2018-09-03T19:21:56Z,False,tqchen
v0.2,2018-01-31T20:00:16Z,False,tqchen
